Day,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
2020-11-09,2.730039746648671e-07,0.0,0.0003604902667627974,0.0,0.0007743134919098478,0.0,2020-11-09
2020-11-09,1.9474283526093855e-05,6.964920019501776e-05,0.021869742850276375,4.523202356470432e-06,0.013306343119303435,0.5467289719626168,2020-11-09
2020-11-09,6.461094067068522e-06,7.73880002166864e-06,0.008411439557798606,0.0,0.009092103729424646,0.18309859154929578,2020-11-09
2020-11-09,2.2750331222072262e-05,7.73880002166864e-06,0.028358567652006728,2.556592636265896e-06,0.014729472263176528,0.052000000000000005,2020-11-09
2020-11-09,0.0,0.0,0.0920451814467676,2.6942553166802136e-05,0.02159749657643269,0.6561514195583596,2020-11-09
2020-11-09,0.09415979887251177,0.33560080173968226,0.0,0.19495828132470044,0.07157335394610066,0.5448474352184386,2020-11-09
2020-11-09,1.1830172235477576e-06,0.0,0.0015621244893054553,0.0,0.014452221559308065,0.0,2020-11-09
2020-11-09,7.325606653507268e-05,0.0,0.08315308819995193,2.222268983831125e-05,0.0925181013676589,0.0,2020-11-09
2020-11-09,3.2487472985119186e-05,0.000193470000541716,0.039533765921653446,5.899829160613606e-07,0.016256631264349338,0.9103641456582633,2020-11-09
2020-11-09,1.1830172235477576e-06,7.73880002166864e-06,0.0014419610670511895,0.0,0.0100694314244989,1.0,2020-11-09
2020-11-09,0.003948365484253085,0.006121390817139895,0.0,0.00837716742515526,0.08928675925317835,0.23700101410528257,2020-11-09
2020-11-09,1.8200264977657809e-07,0.0,0.0002403268445085316,0.0,0.0013679857511195357,0.0,2020-11-09
2020-11-09,0.006766403512068732,0.023525952065872668,0.0,0.014024877219638644,0.05269869514296811,0.5315042700558134,2020-11-09
2020-11-09,6.433793669602035e-05,4.643280013001184e-05,0.08351357846671473,1.1799658321227212e-06,0.07070517985589386,0.11032531824611033,2020-11-09
2020-11-09,0.0,0.0,0.0,0.0,,,2020-11-09
2020-11-09,0.005543072701595462,0.015794890844225695,0.0,0.01157762808381612,0.07514699560897939,0.43559561334384034,2020-11-09
2020-11-09,5.969686912671761e-05,0.0002476416006933965,0.0,0.0,0.0,0.0,2020-11-09
2020-11-09,2.5389369643832643e-05,0.00012382080034669825,0.0,0.0,0.0,0.0,2020-11-09
2020-11-10,2.730039746648671e-07,0.0,0.0003604902667627974,0.0,0.0007743134919098478,0.0,2020-11-10
2020-11-10,1.9474283526093855e-05,6.964920019501776e-05,0.021869742850276375,4.523202356470432e-06,0.013306343119303435,0.5467289719626168,2020-11-10
2020-11-10,6.461094067068522e-06,7.73880002166864e-06,0.008411439557798606,0.0,0.009092103729424646,0.18309859154929578,2020-11-10
2020-11-10,2.3023335196737127e-05,7.73880002166864e-06,0.028358567652006728,3.1465755523272566e-06,0.014906225930334645,0.05138339920948617,2020-11-10
2020-11-10,0.0,0.0,0.0920451814467676,3.107243357923166e-05,0.022074412904618902,0.6419753086419753,2020-11-10
2020-11-10,0.0958544255445815,0.3391606497496498,0.0,0.19853003789853593,0.07286148450775118,0.5408922180133482,2020-11-10
2020-11-10,1.1830172235477576e-06,0.0,0.0015621244893054553,0.0,0.014452221559308065,0.0,2020-11-10
2020-11-10,7.407507845906728e-05,0.0,0.08435472242249459,2.2026028866290796e-05,0.09355246523388118,0.0,2020-11-10
2020-11-10,3.266947563489577e-05,0.000193470000541716,0.039533765921653446,9.833048601022676e-07,0.016347704828855496,0.9052924791086351,2020-11-10
2020-11-10,1.1830172235477576e-06,7.73880002166864e-06,0.0014419610670511895,0.0,0.0100694314244989,1.0,2020-11-10
2020-11-10,0.0039951401652456656,0.00620651761737825,0.0,0.008476087894081547,0.09034450319749783,0.23748348594597057,2020-11-10
2020-11-10,1.8200264977657809e-07,0.0,0.0002403268445085316,0.0,0.0013679857511195357,0.0,2020-11-10
2020-11-10,0.006842116614375789,0.023827765266717742,0.0,0.014180829370450863,0.05328837054285983,0.532365967520981,2020-11-10
2020-11-10,6.470194199557351e-05,4.643280013001184e-05,0.08351357846671473,1.9666097202045352e-06,0.07110520916200926,0.10970464135021098,2020-11-10
2020-11-10,0.0,0.0,0.0,0.0,,,2020-11-10
2020-11-10,0.0055834772898458625,0.015965144444702404,0.0,0.011660619014008751,0.07569475739730332,0.43710476563009326,2020-11-10
2020-11-10,5.996987310138248e-05,0.0002476416006933965,0.0,0.0,0.0,0.0,2020-11-10
2020-11-10,2.5389369643832643e-05,0.00012382080034669825,0.0,0.0,0.0,0.0,2020-11-10
2020-11-11,2.730039746648671e-07,0.0,0.0003604902667627974,0.0,0.0007743134919098478,0.0,2020-11-11
2020-11-11,1.9474283526093855e-05,6.964920019501776e-05,0.021869742850276375,4.523202356470432e-06,0.013306343119303435,0.5467289719626168,2020-11-11
2020-11-11,6.461094067068522e-06,7.73880002166864e-06,0.008411439557798606,0.0,0.009092103729424646,0.18309859154929578,2020-11-11
2020-11-11,2.3023335196737127e-05,7.73880002166864e-06,0.028358567652006728,3.1465755523272566e-06,0.014906225930334645,0.05138339920948617,2020-11-11
2020-11-11,0.0,0.0,0.0920451814467676,3.3825687187518005e-05,0.022392357123409708,0.6328600405679514,2020-11-11
2020-11-11,0.09767172200260063,0.34285979616000745,0.0,0.2023633535651586,0.07424285961870386,0.5366179073884282,2020-11-11
2020-11-11,1.2740185484360466e-06,0.0,0.0015621244893054553,1.9666097202045354e-07,0.015563930910024068,0.0,2020-11-11
