,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
146,71,1,70.0,0.0,234.8116545953633,1.408450704225352
147,257,2,241.0,14.0,391.05295191722456,0.7782101167315175
148,0,0,818.0,180.0,613.4933342717553,4.588910133843212
149,1211951,46301,0.0,1165650.0,2165.079711025204,3.8203689753133583
150,15,0,13.0,2.0,430.66322136089576,0.0
151,915,2,775.0,138.0,2715.8588347036302,0.2185792349726776
152,364,25,332.0,7.0,428.0741367955593,6.868131868131868
153,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
154,47711,878,0.0,46833.0,2535.661139455782,1.84024648403932
155,3,0,2.0,1.0,52.994170641229466,0.0
156,83259,3323,0.0,79936.0,1523.9690297073198,3.9911601148224216
157,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
158,0,0,0.0,0.0,,
159,67811,2243,0.0,65568.0,2160.5492894921304,3.307722935806875
160,757,32,0.0,0.0,0.0,0.0
161,282,16,0.0,0.0,0.0,0.0
162,3,0,3.0,0.0,19.997333688841486,0.0
163,224,9,196.0,19.0,359.70645384034816,4.017857142857143
164,71,1,70.0,0.0,234.8116545953633,1.408450704225352
165,258,2,243.0,13.0,392.5745587340231,0.7751937984496124
166,0,0,852.0,168.0,626.3966357573945,4.49438202247191
167,1229140,46724,0.0,1182416.0,2195.786856077117,3.801357046390159
168,16,0,13.0,3.0,459.3741027849555,0.0
169,926,2,790.0,134.0,2748.508503754712,0.2159827213822894
170,364,25,332.0,7.0,428.0741367955593,6.868131868131868
171,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
172,48229,889,0.0,47340.0,2563.190901360544,1.8432893072632648
173,3,0,3.0,0.0,52.994170641229466,0.0
174,84523,3377,0.0,81146.0,1547.105229440082,3.995362209102848
175,720,6,695.0,19.0,1859.6001859600185,0.8333333333333334
176,0,0,0.0,0.0,,
177,68449,2284,0.0,66165.0,2180.876824061684,3.3367908954111822
178,766,32,0.0,0.0,0.0,0.0
179,282,16,0.0,0.0,0.0,0.0
180,3,0,3.0,0.0,19.997333688841486,0.0
181,226,9,200.0,17.0,362.91811860677984,3.982300884955752
182,71,1,70.0,0.0,234.8116545953633,1.408450704225352
183,258,2,243.0,13.0,392.5745587340231,0.7751937984496124
184,0,0,869.0,162.0,632.848286500214,4.448563484708063
185,1249431,47140,0.0,1202291.0,2232.0355430425243,3.772917432015053
186,16,0,13.0,3.0,459.3741027849555,0.0
187,931,3,802.0,126.0,2763.3492624142946,0.322234156820623
188,366,25,332.0,9.0,430.4261924922382,6.830601092896175
189,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
190,48716,901,0.0,47815.0,2589.0731292517007,1.8494950324328765
191,3,0,3.0,0.0,52.994170641229466,0.0
192,85612,3427,0.0,82185.0,1567.0382369630076,4.002943512591693
193,721,6,698.0,17.0,1862.1829639960745,0.8321775312066574
194,0,0,0.0,0.0,,
195,69497,2307,0.0,67190.0,2214.2675078060283,3.319567751125948
196,773,32,0.0,0.0,0.0,0.0
197,282,16,0.0,0.0,0.0,0.0
198,3,0,3.0,0.0,19.997333688841486,0.0
199,227,9,200.0,18.0,364.5239509899957,3.9647577092511015
200,71,1,70.0,0.0,234.8116545953633,1.408450704225352
201,259,2,243.0,14.0,394.0961655508217,0.7722007722007722
202,0,0,869.0,163.0,633.4348002041068,4.444444444444445
203,1267276,47576,0.0,1219700.0,2263.914593798904,3.754194035079967
204,16,0,13.0,3.0,459.3741027849555,0.0
205,943,3,820.0,120.0,2798.967083197293,0.3181336161187699
206,368,25,332.0,11.0,432.77824818891713,6.793478260869565
207,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
208,49085,913,0.0,48172.0,2608.684098639456,1.860038708363044
209,3,0,3.0,0.0,52.994170641229466,0.0
210,86630,3459,0.0,83171.0,1585.671663646514,3.9928431259378967
211,726,6,698.0,22.0,1875.096854176352,0.8264462809917356
212,0,0,0.0,0.0,,
213,70517,2338,0.0,68179.0,2246.7660740457527,3.315512571436675
214,784,32,0.0,0.0,0.0,0.0
215,282,16,0.0,0.0,0.0,0.0
216,3,0,3.0,0.0,19.997333688841486,0.0
217,227,9,200.0,18.0,364.5239509899957,3.9647577092511015
218,71,1,70.0,0.0,234.8116545953633,1.408450704225352
219,261,2,245.0,14.0,397.1393791844188,0.7662835249042146
220,0,0,887.0,159.0,641.6459920586044,4.387568555758683
221,1284891,47842,0.0,1237049.0,2295.382762982071,3.723428679942501
222,16,0,13.0,3.0,459.3741027849555,0.0
223,953,3,848.0,102.0,2828.6486005164584,0.3147953830010493
224,368,25,332.0,11.0,432.77824818891713,6.793478260869565
225,13,1,12.0,0.0,260.05201040208044,7.6923076923076925
226,49442,923,0.0,48519.0,2627.65731292517,1.8668338659439343
227,3,0,3.0,0.0,52.994170641229466,0.0
228,87517,3496,0.0,84021.0,1601.907272161514,3.994652467520596
229,746,6,700.0,40.0,1926.752414897464,0.8042895442359249
230,0,0,0.0,0.0,,
231,71533,2365,0.0,69168.0,2279.137194927675,3.3061663847455023
232,798,32,0.0,0.0,0.0,0.0
233,283,16,0.0,0.0,0.0,0.0
